A|021
B|1202020
C|1202120
D|12020
E|0
F|0202120
G|12120
H|0202020
I|020
J|0212121
K|12021
L|0212020
M|121
N|120
O|12121
P|0212120
Q|1212021
R|02120
S|02020
T|1
U|02021
V|0202021
W|02121
X|1202021
Y|1202121
Z|1212020
0|121212121
1|021212121
2|020212121
3|020202121
4|020202021
5|020202020
6|120202020
7|121202020
8|121212020
9|121212120
02|02120212021
,|12120202121
?|02021212020
 |4
.|12020202021
)|120212120212
